alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_1,2.84402147988781,-2.28671174383776,9.20252992133878,4.97663470031139,-0.38825982822026,-0.00496179567276428,0.931640909614757,209.995852040423,16.9176173018665,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,1,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_2,2.85819791075889,-2.26336437984076,9.39388423764089,5.06360343931156,-0.399239561406967,0.0057020343756191,0.97356109820562,211.24515955551,17.2628640658094,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,2,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_3,2.85864316515122,-2.26915031690781,9.33916852375565,5.04174495575827,-0.395423147503996,0.000812346491147314,0.962285644798337,210.431897705699,17.1660934522212,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,3,7,63
0.1_0.9_0_0_0_1,2.62146740349331,-2.30659311439159,7.9739891196767,3.9473666517875,-0.5555225911514,0.0125536377042189,0.791503583083247,199.288762242472,13.5887379799446,MoNb,0.1,0.9,0,0,0,1,100,64
0.1_0.9_0_0_0_2,2.64431260974316,-2.26528930825035,8.2150172071573,4.03288301860955,-0.587902078430799,0.0274420802400923,0.849943716751008,200.675425151415,13.9447712742505,MoNb,0.1,0.9,0,0,0,2,100,64
0.1_0.9_0_0_0_3,2.63922278966677,-2.28278246569787,8.11370454869856,3.99727455244818,-0.575157319345237,0.0203685082870744,0.824852669439183,200.110048691086,13.7916744173382,MoNb,0.1,0.9,0,0,0,3,100,64
0.1_0_0.9_0_0_1,3.13993915703279,-1.92277973166646,9.84888814347964,6.14360591202292,0.730955949035643,0.346971304661654,1.43531273634316,139.008985308885,22.9848635339783,MoTa,0.1,0,0.9,0,0,1,100,65
0.1_0_0.9_0_0_2,3.14797063610151,-1.9173226922034,9.91993547338033,6.20333414767677,0.753140513149636,0.354789462857287,1.4535872766128,139.134798563051,23.2289445389194,MoTa,0.1,0,0.9,0,0,2,100,65
0.1_0_0.9_0_0_3,3.11415853808771,-1.93378396925747,9.70428270111334,6.02870635220538,0.694005015873281,0.336932646938647,1.39873517280086,139.108088717004,22.5331004013119,MoTa,0.1,0,0.9,0,0,3,100,65
0.1_0_0_0.9_0_1,2.67785295481701,-2.27691734624547,8.44816766988243,4.19544190305951,-0.590782230930036,-0.00492276603396296,0.863919237623022,202.992179492103,14.3682259744799,MoV,0.1,0,0,0.9,0,1,100,66
